index,target_x,target_y,target_z,actual_x,actual_y,actual_z,targeting_error_mm,angular_error_deg,exp_R00,exp_R01,exp_R02,exp_R10,exp_R11,exp_R12,exp_R20,exp_R21,exp_R22,act_R00,act_R01,act_R02,act_R10,act_R11,act_R12,act_R20,act_R21,act_R22,F_OM1_x,F_OM1_y,F_OM1_z,F_OM1_R00,F_OM1_R01,F_OM1_R02,F_OM1_R10,F_OM1_R11,F_OM1_R12,F_OM1_R20,F_OM1_R21,F_OM1_R22,F_OM2_x,F_OM2_y,F_OM2_z,F_OM2_R00,F_OM2_R01,F_OM2_R02,F_OM2_R10,F_OM2_R11,F_OM2_R12,F_OM2_R20,F_OM2_R21,F_OM2_R22
1,-0.00000000,405.00000000,-115.00000000,16.00083296,414.71854354,-113.03068427,18.82431801,7.55510398,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,-0.00000000,-0.00000000,0.00000000,1.00000000,0.99335618,0.02461170,-0.11241790,-0.03242202,0.99714579,-0.06818440,0.11041890,0.07137620,0.99131887,63.05844116,-132.35000610,1073.59521484,-0.97711891,0.20899893,0.03947228,0.00198570,0.19453855,-0.98089284,-0.21268444,-0.95837063,-0.19050230,136.52880859,45.38772583,727.29138184,0.97304481,-0.18717122,0.13472481,0.11264393,-0.12401975,-0.98586535,0.20123415,0.97446704,-0.09959307
1,40.00000000,405.00000000,-115.00000000,55.20630685,410.37076244,-114.26728884,16.14353501,7.22076184,0.98372585,0.17967595,-0.00000000,-0.17967595,0.98372585,0.00000000,0.00000000,-0.00000000,1.00000000,0.97471291,0.18873604,-0.11963871,-0.19451749,0.98014173,-0.03853807,0.10998935,0.06083540,0.99206922,63.03391266,-132.37817383,1073.69873047,-0.97715706,0.20885240,0.03930368,0.00196372,0.19380793,-0.98103750,-0.21250939,-0.95855057,-0.18979092,101.95593262,45.99611664,720.42285156,0.98875004,-0.02267124,0.14784901,0.14368865,-0.13064806,-0.98096108,0.04155578,0.99116957,-0.12592068
1,-40.00000000,405.00000000,-115.00000000,-20.28314311,409.98176894,-115.93892855,20.35814467,8.03401249,0.98372585,-0.17967595,-0.00000000,0.17967595,0.98372585,0.00000000,0.00000000,-0.00000000,1.00000000,0.97507911,-0.17688661,-0.13390984,0.17302825,0.98410367,-0.04001590,0.13885944,0.01584849,0.99018528,63.03922653,-132.37405396,1073.66699219,-0.97721922,0.20855023,0.03936202,0.00188932,0.19400768,-0.98099822,-0.21222393,-0.95857596,-0.18998206,170.25830078,46.83572388,736.03527832,0.91131520,-0.37871587,0.16148964,0.10080981,-0.17504212,-0.97938633,0.39917663,0.90880942,-0.12134027
1,0.00000000,435.00000000,-115.00000000,21.36942201,435.98104155,-117.04775539,21.48971712,9.68214914,1.00000000,0.00000000,-0.00000000,-0.00000000,1.00000000,-0.00000000,0.00000000,0.00000000,1.00000000,0.98523674,-0.03502709,-0.16757592,0.03310242,0.99935014,-0.01426586,0.16796672,0.00850809,0.98575592,63.03035355,-132.39230347,1073.73242188,-0.97712392,0.20899971,0.03934393,0.00193514,0.19372927,-0.98105311,-0.21266189,-0.95853436,-0.18970194,142.30104065,53.82405090,701.38647461,0.94917154,-0.24342445,0.19954440,0.15646480,-0.18518870,-0.97016692,0.27311572,0.95207649,-0.13768849
1,5.00000000,375.00000000,-115.00000000,15.19748212,385.40344162,-112.16382043,14.84129892,5.86837600,0.99965025,0.02644577,0.00000000,-0.02644577,0.99965025,-0.00000000,-0.00000000,0.00000000,1.00000000,0.99572757,0.05825495,-0.07164443,-0.06347922,0.99531380,-0.07294442,0.06705932,0.07718071,0.99475940,63.06136703,-132.34370422,1073.55175781,-0.97716570,0.20876235,0.03956595,0.00194922,0.19501102,-0.98079914,-0.21246973,-0.95832616,-0.19096501,126.86116791,38.61077499,754.97332764,0.98358965,-0.15391304,0.09413903,0.07620998,-0.11851194,-0.99002373,0.16353415,0.98095143,-0.10483741
1,-0.00000000,425.00000000,-115.00000000,19.00339454,427.63654228,-116.12861264,19.21858803,8.54824478,1.00000000,0.00000000,0.00000000,-0.00000000,1.00000000,0.00000000,-0.00000000,-0.00000000,1.00000000,0.98900977,-0.02193557,-0.14621400,0.01821193,0.99947604,-0.02675746,0.14672433,0.02380053,0.98889105,63.04071808,-132.39144897,1073.70812988,-0.97712505,0.20899114,0.03936151,0.00195816,0.19392025,-0.98101532,-0.21265651,-0.95849758,-0.18989357,140.32846069,51.00910187,710.66400146,0.95680481,-0.23125227,0.17620154,0.13847052,-0.17042701,-0.97559243,0.25563747,0.95785022,-0.13104375
1,-0.00000000,420.00000000,-10.00000000,6.16104221,421.95234211,-12.07969922,6.78934678,5.17322306,1.00000000,0.00000000,0.00000000,0.00000000,0.90630779,-0.42261826,-0.00000000,0.42261826,0.90630779,0.99556699,0.02677912,-0.09016263,-0.06252401,0.90456832,-0.42171905,0.07026500,0.42548689,0.90223265,63.06417847,-132.35478210,1073.56860352,-0.97713447,0.20891008,0.03955798,0.00197168,0.19494300,-0.98081261,-0.21261320,-0.95830780,-0.19089742,136.89497375,36.22093582,724.59930420,0.98308516,-0.17963804,0.03569015,0.07914247,0.24093084,-0.96731007,0.16516683,0.95377278,0.25107253
1,-0.00000000,420.00000000,-10.00000000,4.83683990,419.64182612,-12.44771066,5.43273378,12.09476003,0.90377277,0.06773915,0.42261826,-0.07474188,0.99720291,-0.00000000,-0.42143616,-0.03158728,0.90630779,0.97260194,0.06276322,0.22384440,-0.06088835,0.99802767,-0.01527544,-0.22436165,0.00122740,0.97450522,63.02260971,-132.40533447,1073.75183105,-0.97714269,0.20893711,0.03921056,0.00198017,0.19338454,-0.98112106,-0.21257532,-0.95861757,-0.18937802,134.22384644,50.46558380,714.41687012,0.97189003,-0.14724453,-0.18370862,-0.21027698,-0.19192319,-0.95861834,0.10589335,0.97030127,-0.21749036
1,-0.00000000,420.00000000,-10.00000000,5.46825974,420.86681302,-8.06066669,5.86636541,9.23231140,1.00000000,-0.00000000,0.00000000,0.00000000,0.90630779,0.42261826,-0.00000000,-0.42261826,0.90630779,0.98958100,0.07502581,-0.12288415,-0.03150381,0.94564926,0.32365874,0.14048807,-0.31641525,0.93816015,63.03488159,-132.39028931,1073.69311523,-0.97716081,0.20882514,0.03935429,0.00195968,0.19404334,-0.98099101,-0.21249202,-0.95850885,-0.19002078,136.09861755,59.92830276,716.12420654,0.96802980,-0.11171076,0.22458629,0.14199138,-0.49404448,-0.85776365,0.20677705,0.86223012,-0.46238780
1,0.00000000,420.00000000,-10.00000000,6.91346167,420.03550455,-11.28994368,7.03286340,2.02901188,0.90377277,-0.06773915,-0.42261826,0.07474188,0.99720291,-0.00000000,0.42143616,-0.03158728,0.90630779,0.89077661,0.00681633,-0.45439032,-0.00867095,0.99996041,-0.00199789,0.45435871,0.00571968,0.89080044,63.02588654,-132.40129089,1073.73352051,-0.97722805,0.20853166,0.03924188,0.00190991,0.19357254,-0.98108411,-0.21218325,-0.95866793,-0.18956278,140.94400024,50.64721298,715.33026123,0.85447013,-0.20208675,0.47858301,0.44574127,-0.18796641,-0.87520474,0.26682481,0.96116054,-0.07053328
