(0,415)
(0,410)
(0,405)
(0,400)
(0,390)
(0,380)
(0,390)
(0,400)
(0,405)
(0,410)
(0,415)
(0,420)
(0,430)
(0,440)
(0,430)
(0,420)
(0,415)
(0,410)
(0,405)
(0,400)
(0,390)
(0,380)
(0,390)
(0,400)
(0,405)
(0,410)
(0,415)
(0,420)
(0,430)
(0,440)
(0,430)
(0,420)
(0,415)
(0,410)
(0,405)
(0,400)
(0,390)
(0,380)
(0,390)
(0,400)
(0,405)
(0,410)
(0,415)
(0,420)
(0,430)
(0,440)
(0,430)
(0,420)
(0,415)
(0,410)
(0,405)
(0,400)
(0,390)
(0,380)
(0,390)
(0,400)
(0,405)
(0,410)
(0,415)
(0,420)
(0,430)
(0,440)
(0,430)
(0,420)
(0,415)
(0,410)
(0,405)
