Timestamp;Index;TrackingId;CoordX;CoordY;CoordZ;R[0,0];R[0,1];R[0,2];R[1,0];R[1,1];R[1,2];R[2,0];R[2,1];R[2,2];Registration;GeometryId;PresenceMask;Fid[0];Fid[1];Fid[2];Fid[3];
0x00000001311a6eeb;0;2638;150.2473;-51.6784;717.4703;-0.9608268;0.2298734;0.1548230;0.2190310;0.9720940;-0.0840161;-0.1698156;-0.0468139;-0.9843633;0.1595;99900;15;0;3;1;2
0x00000001311a91e6;0;2639;150.2553;-51.5971;717.4536;-0.9608359;0.2298276;0.1548340;0.2189835;0.9721044;-0.0840199;-0.1698249;-0.0468232;-0.9843612;0.1565;99900;15;0;3;1;2
0x00000001311ab4e1;0;2640;150.2515;-51.5280;717.4447;-0.9608339;0.2298189;0.1548597;0.2189474;0.9720994;-0.0841710;-0.1698831;-0.0469682;-0.9843443;0.1586;99900;15;0;3;1;2
0x00000001311ad7dd;0;2641;150.2374;-51.4650;717.4279;-0.9608333;0.2298622;0.1547994;0.2190027;0.9720913;-0.0841216;-0.1698155;-0.0469253;-0.9843580;0.1593;99900;15;0;3;1;2
0x00000001311afad8;0;2642;150.2127;-51.4092;717.4082;-0.9608237;0.2299569;0.1547180;0.2191198;0.9720736;-0.0840204;-0.1697183;-0.0468270;-0.9843795;0.1576;99900;15;0;3;1;2
0x00000001311b1dd3;0;2643;150.1829;-51.3690;717.3943;-0.9608394;0.2300602;0.1544668;0.2192311;0.9720458;-0.0840516;-0.1694857;-0.0468962;-0.9844162;0.1595;99900;15;0;3;1;2
0x00000001311b40ce;0;2644;150.1559;-51.3493;717.3911;-0.9608372;0.2301510;0.1543450;0.2193220;0.9720218;-0.0840918;-0.1693805;-0.0469473;-0.9844319;0.1596;99900;15;0;3;1;2
0x00000001311b63ca;0;2645;150.1384;-51.3493;717.3941;-0.9608316;0.2302599;0.1542173;0.2193951;0.9719836;-0.0843426;-0.1693174;-0.0472045;-0.9844305;0.1590;99900;15;0;3;1;2
0x00000001311b86c5;0;2646;150.1261;-51.3672;717.4070;-0.9607920;0.2304007;0.1542537;0.2194804;0.9719363;-0.0846643;-0.1694314;-0.0474891;-0.9843972;0.1577;99900;15;0;3;1;2
0x00000001311ba9c0;0;2647;150.1197;-51.3918;717.4132;-0.9607649;0.2306143;0.1541035;0.2196269;0.9718642;-0.0851114;-0.1693956;-0.0479268;-0.9843821;0.1578;99900;15;0;3;1;2
0x00000001311bccbb;0;2648;150.1165;-51.4105;717.4132;-0.9606830;0.2309146;0.1541643;0.2198791;0.9717824;-0.0853936;-0.1695328;-0.0481387;-0.9843482;0.1589;99900;15;0;3;1;2
0x00000001311befb7;0;2649;150.1191;-51.4198;717.4041;-0.9606022;0.2312468;0.1541702;0.2201730;0.9716945;-0.0856362;-0.1696094;-0.0483182;-0.9843262;0.1583;99900;15;0;3;1;2
0x00000001311c12b2;0;2650;150.1253;-51.4201;717.3767;-0.9605219;0.2315753;0.1541774;0.2204978;0.9716172;-0.0856780;-0.1696423;-0.0482998;-0.9843214;0.1556;99900;15;0;3;1;2
0x00000001311c35ad;0;2651;150.1368;-51.4104;717.3434;-0.9604381;0.2318709;0.1542547;0.2207870;0.9715485;-0.0857125;-0.1697402;-0.0482641;-0.9843063;0.1559;99900;15;0;3;1;2
0x00000001311c58a8;0;2652;150.1586;-51.3868;717.2982;-0.9603738;0.2320839;0.1543351;0.2210050;0.9715022;-0.0856748;-0.1698206;-0.0481710;-0.9842970;0.1573;99900;15;0;3;1;2
0x00000001311c7ba3;0;2653;150.1878;-51.3552;717.2449;-0.9603202;0.2321585;0.1545556;0.2211175;0.9715011;-0.0853973;-0.1699767;-0.0478338;-0.9842865;0.1566;99900;15;0;3;1;2
0x00000001311c9e9f;0;2654;150.2219;-51.3214;717.1876;-0.9603046;0.2320981;0.1547438;0.2210749;0.9715249;-0.0852365;-0.1701207;-0.0476431;-0.9842709;0.1559;99900;15;0;3;1;2
0x00000001311cc19a;0;2655;150.2603;-51.2896;717.1268;-0.9603363;0.2318828;0.1548696;0.2208655;0.9715799;-0.0851525;-0.1702136;-0.0475697;-0.9842584;0.1581;99900;15;0;3;1;2
0x00000001311ce495;0;2656;150.3036;-51.2567;717.0618;-0.9604076;0.2315389;0.1549420;0.2205276;0.9716635;-0.0850738;-0.1702493;-0.0475365;-0.9842538;0.1566;99900;15;0;3;1;2
0x00000001311d0790;0;2657;150.3475;-51.2187;717.0051;-0.9604943;0.2310790;0.1550907;0.2200535;0.9717703;-0.0850823;-0.1703733;-0.0475928;-0.9842296;0.1553;99900;15;0;3;1;2
0x00000001311d2a8c;0;2658;150.3913;-51.1726;716.9404;-0.9605858;0.2305769;0.1552717;0.2195584;0.9718932;-0.0849570;-0.1704967;-0.0475173;-0.9842119;0.1559;99900;15;0;3;1;2
0x00000001311d4d87;0;2659;150.4300;-51.1185;716.8781;-0.9606816;0.2300781;0.1554187;0.2190815;0.9720184;-0.0847555;-0.1705702;-0.0473737;-0.9842060;0.1587;99900;15;0;3;1;2
